prolific_id,startdate_wave1,enddate_wave1,duration_wave1,consent_given_wave1,worry_wave1,chosen_emotion_wave1,anger_wave1,disgust_wave1,fear_wave1,anxiety_wave1,sadness_wave1,happiness_wave1,relaxation_wave1,desire_wave1,text_long_wave1,timing_textlong_firstclick_wave1,timing_textlong_lastclick_wave1,timing_textlong_submit_wave1,timing_textlong_nclicks_wave1,text_short_wave1,timing_textshort_firstclick_wave1,timing_textshort_lastclick_wave1,timing_textshort_submit_wave1,timing_textshort_nclicks_wave1,self_rating_general_wave1,self_rating_short_wave1,self_rating_long_wave1,twitter_general_often_wave1,twitter_tweet_often_wave1,twitter_participate_often_wave1,eng_native_wave1,ntok_long_wave1,nchar_long_wave1,ntok_short_wave1,nchar_short_wave1,cld_lang_long_wave1,cld_lang_short_wave1,id_wave1,n_punct_wave1,prop_punct_wave1,session_id_wave1,status_wave1,started_datetime_wave1,completed_date_time_wave1,time_taken_wave1,age_wave1,num_approvals_wave1,num_rejections_wave1,prolific_score_wave1,reviewed_at_datetime_wave1,entered_code_wave1,Country of Birth_wave1,Current Country of Residence_wave1,Employment Status_wave1,First Language_wave1,Nationality_wave1,Sex_wave1,Student Status_wave1,wave_wave1,startdate_wave2,enddate_wave2,duration_wave2,consent_given_wave2,worry_wave2,chosen_emotion_wave2,anger_wave2,disgust_wave2,fear_wave2,anxiety_wave2,sadness_wave2,happiness_wave2,relaxation_wave2,desire_wave2,text_long_wave2,timing_textlong_firstclick_wave2,timing_textlong_lastclick_wave2,timing_textlong_submit_wave2,timing_textlong_nclicks_wave2,text_short_wave2,timing_textshort_firstclick_wave2,timing_textshort_lastclick_wave2,timing_textshort_submit_wave2,timing_textshort_nclicks_wave2,self_rating_general_wave2,self_rating_short_wave2,self_rating_long_wave2,twitter_general_often_wave2,twitter_tweet_often_wave2,twitter_participate_often_wave2,eng_native_wave2,ntok_long_wave2,nchar_long_wave2,ntok_short_wave2,nchar_short_wave2,cld_lang_long_wave2,cld_lang_short_wave2,id_wave2,n_punct_wave2,prop_punct_wave2,session_id_wave2,status_wave2,started_datetime_wave2,completed_date_time_wave2,time_taken_wave2,age_wave2,num_approvals_wave2,num_rejections_wave2,prolific_score_wave2,reviewed_at_datetime_wave2,entered_code_wave2,Country of Birth_wave2,Current Country of Residence_wave2,Employment Status_wave2,First Language_wave2,Nationality_wave2,Sex_wave2,Student Status_wave2,wave_wave2,anger_delta,anxiety_delta,desire_delta,disgust_delta,fear_delta,happiness_delta,relaxation_delta,sadness_delta,worry_delta,cluster,cluster_name,joint_id
anonymised_506,2020-04-06 12:28:21,2020-04-06 12:41:50,809,Yes,9,Fear,8,4,9,9,9,1,1,1,I feel very insecure and worried about the health of my close family and friends as well as struggling with my own health anxiety. I feel the Government have let us down by not acting quick enough and this both saddens and angers me. I feel desperately anxious for the front line workers putting themselves at risk alongside immense anger with the selfish people in society who are not observing Government guidelines. I feel extremely insecure about what will happen in the future and the aftermath of the situation on many different levels is extremely worrying. ,0.992,145.175,193.808,2,"The Corona virus situation is one of the greatest tests of modern day society on so many levels. Please follow the guidelines - this is not a game, lives are at risk",1.408,1.408,494.774,1,8,3,8,9,6,7,Yes,100,565,34,165,en,en,1572,4,0.01,5e8b74bffc9f9e04c7210c09,APPROVED,2020-04-06 18:28:18.404000,2020-04-06 18:41:53.522000,815.118,50,355,3,100,2020-04-07 10:06:43.019000,45CBCD80,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,wave1,2021-03-05 13:30:44,2021-03-05 13:37:33,409,Yes,7,Anxiety,2,2,6,6,6,3,4,3,"I am concerned about the efficacy of the vaccines given the new strains and the impact of children returning to school and the gradual opening up of shops, hospitality etc. I worry that people think it's all over and I dread another wave developing and us being sent back to square one again. I am trying to be cautiously optimistic about the vaccination roll out but anxiety still is the dominating feeling for me. I worry that people are once again going to prioritise wealth over health and this troubles me. I think there is a lot of anger in the world at the moment with people so divided on their views about what is right and wrong in relation to how proceed and this in itself leaves me feeling very uncomfortable. ",1.055,161.949,228.013,5,Let's keep safe and listening to the science. The battle isn't won yet and we all have to do our bit #don'tbeselfish #getvaccinated #stayalert,1.298,1.298,67.609,1,7,6,7,8,7,7,Yes,138,723,25,142,en,en,275,7,0.01,604294e0c529521a0cd5c387,APPROVED,2021-03-05 20:30:42.356000,2021-03-05 20:37:54.115000,431.759,51,647,6,99,2021-03-12 13:02:17.593000,45CBCD80,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No,wave2,-6,-3,2,-2,-3,2,3,-3,-2,2,wellcoping,506
anonymised_507,2020-04-06 10:37:26,2020-04-06 10:43:12,345,Yes,6,Happiness,1,2,3,4,1,4,4,3,I keep forgetting why we are isolating and those moments are very happy and relaxed. I then remember why I am at home and start to get anxious. I wish I could stay working from home but without the looming threat of the virus. I love spending time with my family but hate that we cannot see all of the family. Also I feel a lot of pressure that this time needs to be productive. Generally I am feeling happy but I worry for other members of my family especially the older ones and the ones who are unwell.,2.145,105.907,174.388,5,Yay for lockdown and homeschooling and home working. Poo poo to the virus that has made this possible. Lets hope we all learn valuable lessons from this time.,0.701,0.701,37.964,1,6,6,7,4,2,3,Yes,105,505,31,158,en,en,583,6,0.01,5e8b5ac2cd34af0291f8fc13,APPROVED,2020-04-06 16:37:24.998000,2020-04-06 16:43:14.209000,349.211,32,321,3,100,2020-04-07 09:50:15.715000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes,wave1,2021-03-08 04:22:12,2021-03-08 04:32:11,599,Yes,6,Anxiety,6,8,7,6,7,7,6,7,I feel will are possibly heading for another wave as the kids go back to school. I am totally sick of everyone using it as an excuse to judge each other about everything! From wearing masks to getting the vaccine people are judging each other harshly. It seems similar to the flu so I think we should just be protecting the elderly and vulnerable and the rest of us going about our business. most people i speak to feel the same as me. I think there is an error with this survey as it wont let me continue,64.601,285.879,328.348,10,Screw covid - lets get back to normal.,3.472,3.472,31.063,1,7,2,8,3,3,1,Yes,103,505,9,38,en,en,1317,5,0.01,604608d1b7481101e0144ecd,APPROVED,2021-03-08 11:22:11.544000,2021-03-08 11:32:13.983000,602.439,33,563,7,98,2021-03-12 13:51:54.567000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes,wave2,5,2,4,6,4,3,2,6,0,1,resignation,507
anonymised_508,2020-04-06 12:29:09,2020-04-06 12:34:23,313,Yes,9,Anxiety,6,4,8,9,6,3,3,2,"I feel stressed and anxious a lot of the time. I have had to limit the amount of time that I watch the news as it was getting me down - I now check in a couple of times a day. I have family who are at risk and this is a worry. I feel safer in doors and see things like shopping now as a bit of a frantic time, getting in and out as quickly as possible so as to reduce exposure. I fear what will happen and cannot see an end to this but hope that a few as people as possible will die. This is unprecedented times and it feels very strange to have life changed so much just something which we cannot see.",0.742,178.26,182.257,9,"Limiting my exposure to the news right now, as I need to manage my emotions and focus on my home-life, family and mental well being.",7.6,48.303,51.244,3,9,8,9,1,1,1,Yes,135,602,28,132,en,en,1480,8,0.01,5e8b74f008ff3b045bae1033,APPROVED,2020-04-06 18:29:08.248000,2020-04-06 18:34:26.063000,317.815,47,201,1,100,2020-04-07 10:06:51.327000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave1,2021-03-05 13:58:47,2021-03-05 14:06:39,471,Yes,7,Anxiety,6,4,5,7,7,1,1,1,"I feel like the situation is relentless, so much has changed and I fear that life will never quite be the same again. I used to enjoy travel, theatre, cinema, meeting up with friends and all of this has gone. It feels odd, almost like I am living in a vacuum of work and homelife, with nothing in-between. People's enthusiasm for Zoom has faded and I am scraping the barrel with what boxsets I have left to watch.  Although having said that the time to step away from the rushing around, has been positive too. I have found more time to dedicate to myself and definitely so more self-care now and check in with how I feel, take longer baths, listen to podcasts, cook more, value the time I get with people i care about and am enjoying living a more frugal and sustainable life.",3.01,228.711,242.74,5,"A time which has meant losses, a different way of life, an adaptation and a realisation that I, along with those I care about, matter far more than consumerism, capitalism or vanity.",3.467,3.467,63.14,1,8,7,9,3,1,1,Yes,162,777,38,182,en,en,361,20,0.03,60429b82a013a21bcfb9d293,APPROVED,2021-03-05 20:58:46.006000,2021-03-05 21:06:44.676000,478.67,48,565,1,100,2021-03-12 13:07:20.343000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave2,0,-2,-1,0,-3,-2,-2,1,-2,1,resignation,508
anonymised_509,2020-04-06 11:15:28,2020-04-06 11:22:33,424,Yes,6,Anxiety,4,3,5,6,4,4,5,4,"some days I wake up positive but some days I don't want to get up as there's not much to look forward to in these current times. At this moment I feel tired and dejected, probably as a result of not sleeping very well. It is taking me longer to get to sleep at night at the moment. As a result I am very tired in the mornings. The one thing that is extremely good for my wellbeing is getting out to do a run daily...or most days. I am hoping that this will be able to continue and won't also be taken from us.",45.521,176.783,288.848,4,feeling tired today but trying hard to remain upbeat!,8.806,8.806,31.69,1,5,6,5,7,3,2,Yes,116,509,10,53,en,en,929,13,0.03,5e8b63add73f3b02a3786f12,APPROVED,2020-04-06 17:15:27.310000,2020-04-06 17:22:34.726000,427.416,41,236,1,100,2020-04-07 09:56:16.525000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave1,2021-03-05 12:55:19,2021-03-05 13:01:47,387,Yes,3,Anxiety,5,3,5,7,6,4,5,4,"had enough of it all now, we need to feel how we did before it all started. Kids doing back to school without anxiety, their work not suffering, Our usual activities need to be resumed and we need to be reunited wit our relatives and friends. When all this returns we can start to adapt back. This will take a while in itself as it has been so long and we have fallen out of our routines. This causes anxiety in itself. At this moment I want to be back to normal but fear how easy or difficult it will be.",3.569,196.63,241.477,6,"Feeling pretty anxious and worried today, get worried when I think of what is ahead",9.632,9.632,50.29,1,5,6,4,8,3,4,Yes,110,505,16,83,en,en,16,9,0.02,60428ca17754df18f491938b,APPROVED,2021-03-05 19:55:17.748000,2021-03-05 20:01:49.221000,391.473,42,481,2,100,2021-03-12 12:45:13.397000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave2,1,1,0,0,0,0,0,2,-3,1,resignation,509
anonymised_510,2020-04-06 09:24:22,2020-04-06 09:31:47,445,Yes,7,Anxiety,7,2,7,8,8,3,3,8,"In general I'm confident this will be resolved over time, I'm annoyed that people continue to ignore government advice when I'm stuck at home and would very much like to go out and visit friends etc. Most of all I haven't see my girlfriend for a few weeks and that is becoming increasingly difficult.
I believe the NHS are doing all they can and we, as a nation should do everything we can to support them, which includes staying indoors unless completely necessary but people can't even manage this.
I understand this is a frustrating and scary time for everyone, from a selfish point of view I have my own worries about stuff like a holiday I have booked next week but I know in the grand scheme of things this is not as important right now.",0.721,228.037,228.405,2,"These are unprecedented times, no one know what is going to happen, but we should all be following advice and staying indoors as much as we possibly can. ",1.583,1.583,103.421,1,7,2,7,9,3,3,Yes,145,743,31,154,en,en,103,13,0.02,5e8b49a3f95992000bb0aead,APPROVED,2020-04-06 15:24:20.942000,2020-04-06 15:31:49.896000,448.954,32,117,2,99,2020-04-07 09:41:12.441000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,Yes,wave1,2021-03-15 02:49:18,2021-03-15 02:57:04,465,Yes,7,Anxiety,4,3,7,8,7,5,3,2,"There feels like for the first time a light at the end of the tunnel. But the effects that it has had are going to be long lasting from education and peoples money situation from not being able to work to mental health. 
I do hope soon that normal life can be resumed as long as there is no longer a threat to people.
I feel better about the situation as a whole as the vaccinations are ramping up and soon normality will be slowly resumed. I am grateful that I have been able to continue to work through this time and am lucky that my life hasn't been too affected.",2.102,226.277,273.769,3,Overall a mishandled situation. The world feels like a worse place in general than it was pre-corona. Hopefully normal life will be resumed soon.,7.96,7.96,69.055,1,3,3,4,9,2,3,Yes,116,566,27,145,en,en,1574,6,0.01,604f1f8958e61f6fc528cfd8,APPROVED,2021-03-15 08:49:16.535000,2021-03-15 08:57:07.801000,471.266,33,196,4,98,2021-03-22 23:34:34.814000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,Yes,wave2,-3,0,-6,1,0,2,0,-1,0,1,resignation,510
anonymised_511,2020-04-06 10:10:27,2020-04-06 10:15:30,302,Yes,8,Anxiety,7,5,8,8,6,5,5,3,"I feel anxious for what is to come, scared that people I know may be seriously ill or die. I am annoyed that some people aren't taking it seriously. I feel scared to go to the supermarket. I am worried about the impact it will have on my job currently and on its future. I am sad that I cannot visit any of my friends and family at the moment. I wish I had an outdoor terrace or garden and a dog where I live. I am unsure how long this will all last for. I miss the simple things in life. On the other hand, I am enjoying being less busy and taking time to relax and do the things I always put off because I don't make time to do them.",1.84,143.051,170.869,10,"Don't know whether I am more nervous, scared, or upset about the whole situation",4.838,4.838,33.425,1,7,4,7,8,3,3,Yes,144,635,16,80,en,en,369,13,0.02,5e8b546f4333b4017015921c,APPROVED,2020-04-06 16:10:26.173000,2020-04-06 16:15:32.621000,306.448,24,83,2,99,2020-04-07 09:46:41.920000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave1,2021-03-10 06:10:00,2021-03-10 06:14:39,279,Yes,7,Sadness,3,2,6,6,9,5,5,6,I feel frustrated and hopeless. I am happy that things are starting to reopen soon but can’t believe that it will all go to plan and think that coronavirus will spiral out of control again. I feel trapped and like I am wasting my life away. Currently I feel like I am living to work and nothing else. All I want to do is travel and see my friends. Not being able to do the things you would usually is difficult to come to terms with. I am worried that normality will never return. I am however excited to have my second vaccine and hope that the vaccine will make a big difference to the situation.,3.213,116.745,146.396,16,"Fed up, frustrated, waiting for it to end. Let me travel and go to gigs again please!",1.994,6.044,24.24,5,7,4,8,7,2,3,Yes,124,598,21,85,en,en,1446,9,0.02,6048c524e673b4bb385d9c4b,APPROVED,2021-03-10 13:09:56.679000,2021-03-10 13:14:41.256000,284.577,25,191,2,100,2021-03-12 13:54:58.534000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave2,-4,-2,3,-3,-2,0,0,3,-1,1,resignation,511
anonymised_512,2020-04-06 10:08:38,2020-04-06 10:20:00,681,Yes,7,Anxiety,4,3,4,6,5,3,3,1,"I'm saddened that I'm not able to travel at the moment, I had quite a few plans for April that have been scuppered. In general I'm not all too affected due to being an introverted homebody, but am shocked at the sheer level of contagiousness of the virus and in the longer term really hope it shows those in charge how important the NHS is. I really hope that people can pull together and don't drag this out longer than it needs to, although the pessimist in me isn't expecting that much.

Also, although I feel a little bad for it there's a certain amount of schadenfreude gained from knowing the Prime Minister is now ill with coronavirus after his being so weak-willed for so long when the dangers first started appearing.",1.45,397.567,399.049,16,"We need to pull together, listen to the experts and do everything we can to curb this virus. Breaking social distancing is only going to add to how long it stays in place for!",5.711,99.72,100.871,2,6,4,7,7,1,1,Yes,140,726,37,175,en,en,399,15,0.02,5e8b5340880654011a235f3e,APPROVED,2020-04-06 16:08:33.973000,2020-04-06 16:20:06.799000,692.826,37,348,0,100,2020-04-07 09:46:03.107000,45CBCD80,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,No,wave1,2021-03-25 05:05:22,2021-03-25 05:18:06,763,Yes,4,Anxiety,3,1,4,4,2,5,4,1,"I'm still concerned that we're opening up too quickly, our government seems to fold every time the business sector even mildly leans on them and it just gets us in a cycle of lockdown, then reopening, then infection rates predictably soaring, then lockdown again. We would probably be in a much better place if restrictions had stayed somewhat strict until vaccines were ready and at least partially rolled out.

Other than that I'm not especially looking forward to finding work again and feel rather down on myself for not making better use of my free time.",2.743,253.751,314.875,5,"Everyone getting caught up in 'yay great vaccine rollout' needs to not forget how badly handled the whole covid situation has been by our government prior to this, nor let them hide behind it as a shield for their numerous other failings.",4.2,134.748,137.182,3,6,6,8,6,1,1,Yes,103,559,46,238,en,en,1718,10,0.02,605c6e56d3d44d4178ff3fcd,APPROVED,2021-03-25 11:05:13.881000,2021-03-25 11:18:30.105000,796.224,38,419,0,100,2021-03-30 18:42:00.401000,45CBCD80,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Prefer not to say,No,wave2,-1,-2,0,-2,0,2,1,-3,-3,2,wellcoping,512
anonymised_513,2020-04-06 12:02:24,2020-04-06 12:12:21,597,Yes,7,Anxiety,2,2,5,7,5,5,6,2,"I do not find the isolation difficult. I am one of those people that does not mind my own company. It won't last forever. I do like to sit outside a cafe and watch the world go by, but I can wait. I worry about my partner who goes out to work every day in a nursing home. He has diabetes and has had angina. Fingers crossed. We have Mums, both aged 92. They are staying in of course. Getting an online grocery shop is the most frustrating aspect. But I usually get there in the end. I just wish people would obey the rules and then we might get through this quicker. All in all, it's something we just have to get through. ",5.3,250.127,360.817,6,"Unplug, switch off, relax. Start to know yourself without asking everyone else's opinion or approval.",23.744,26.71,84.801,2,8,6,9,9,3,3,Yes,140,623,19,101,en,en,1163,18,0.03,5e8b6e9da690d2044da7d0a2,APPROVED,2020-04-06 18:02:21.603000,2020-04-06 18:12:28.356000,606.753,70,285,1,100,2020-04-07 10:00:16.117000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave1,2021-03-05 12:58:10,2021-03-05 13:05:18,428,Yes,7,Anxiety,6,5,4,6,5,4,5,3,"In theory it should all be so straight forward. The vaccines are rolling out. We have all been isolating. (Well except for the idiots). That is at the heart of this really. I just really hope that as the restrictions are relaxed, people will not go mad in their behaviour. We still need to be careful. There is the frightening prospect of those who have not been vaccinated, or refuse to be vaccinated spreading the disease. I am 100% for vaccine enforcement, with medical reasons being the only exemptions. Why should be all be endangered because of the selfishness of a few.",3.991,3.991,232.595,1,"Be happy, be free but above all be safe",7.196,7.196,36.076,1,9,8,9,9,3,3,Yes,118,576,10,39,en,en,39,16,0.03,60428d4a8f512c18ecb82fe8,APPROVED,2021-03-05 19:58:07.430000,2021-03-05 20:05:27.758000,440.328,71,577,1,100,2021-03-12 12:46:47.493000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave2,4,-1,1,3,-1,-1,-1,0,0,1,resignation,513
anonymised_514,2020-04-06 13:27:55,2020-04-06 13:44:21,986,Yes,8,Anxiety,3,1,6,8,7,2,4,1,"At the moment I feel really stressed. This is mostly because of my mum, who has been in isolation for 3 weeks and is 77 this summer. I worry that she will get sick, not from the corona virus but from something else, and I will not be able to get treatment for her. I wake up in the middle of the night worrying that things will never get back to normal for any of us. I don't miss work because I hate my job but the lack of normal routine is having an effect on my mental health. I am trying to keep healthy by exercising each day but it is a real struggle. I can't believe I am living this. The terrible news each day and the losses people have to endure is unreal. How can someone survive having a child one day and knowing that they are being buried alone the next?",14.463,494.071,495.507,17,Please help our NHS workers. Give them the supplies that they need to do their jobs without undue worry and protect themselves. We never know when we will need them. These people are often the only hope in a world where we don't realise what is around the corner.,6.709,275.485,277.149,13,7,3,7,3,4,4,Yes,167,768,53,263,en,en,2217,14,0.02,5e8b82b1cd94a705dc564544,APPROVED,2020-04-06 19:27:51.150000,2020-04-06 19:44:29.918000,998.768,51,403,0,100,2020-04-07 10:18:44.126000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave1,2021-03-05 13:00:14,2021-03-05 13:15:01,887,Yes,7,Anxiety,6,3,7,8,7,1,2,1,"I feel anxiety for myself and my family. I am a front line worker and next week will be mixing with 900 plus people per day again. I am not vaccinated so I can't see my family safely even if I was allowed to, but I'm told it's 'safe' to deal with other people's. It's not safe - how can it be?I don't trust the government at all because there have been so many 'u' turns. I am now taking medication for anxiety and depression which all stems from the risk I associate with my job. Maybe I will feel differently as more people are vaccinated but what a sad, sad death toll this country has. Covid was not controlled or handled properly in the UK, from the start up until now.",5.569,504.321,507.92,22,"We will be picking up the pieces from this for the rest of my lifetime. What a disaster this government has been in dealing with all aspects of the pandemic, except the vaccination programme. ",10.684,149.292,151.07,5,8,3,8,3,3,2,Yes,148,674,37,192,en,en,152,22,0.03,60428c7682c5bf19468a05d1,APPROVED,2021-03-05 20:00:10.514000,2021-03-05 20:15:19.872000,909.358,52,738,0,100,2021-03-12 12:44:40.585000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave2,3,0,0,2,1,-1,-2,0,-1,1,resignation,514
anonymised_515,2020-04-06 12:47:11,2020-04-06 12:55:15,484,Yes,7,Anxiety,2,2,4,6,4,4,4,2,"I am worried for both myself and family. I am also worried about the longer term effects of the Corona virus. It is particularly worrying for older members of he family who are self isolating but there is also significant impact on their mental health. We are attempting to maintain social distancing but this can be difficult, particularly in shops. It is also incredibly boring and restricting on how we normally lead our lives that leads to further anxiety. I am worried for everyone and also the ability of our country to continue effectively economically",24.722,302.02,306.133,31,It s a worrying time for us all but we must hold on to the belief that things will get better.,10.251,38.528,41.342,4,6,6,6,3,3,3,Yes,101,559,22,94,en,en,1715,6,0.01,5e8b792bce26d404ceda54bb,APPROVED,2020-04-06 18:47:07.951000,2020-04-06 18:55:25.287000,497.336,56,497,1,100,2020-04-07 10:10:26.018000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave1,2021-03-05 14:59:26,2021-03-05 15:07:20,474,Yes,7,Fear,2,2,4,4,3,4,4,5,I feel hope for the future and getting back to normal but have anxiety that new strains of the virus will delay things and poor uptake of the vaccine will also affect our progress. I also have concerns about the economy and worry for my son who is shortly to join the job market. I would dearly love to get back to doing some of the things I used to enjoy such as holidays and even just going for a coffee in a café. I think the pandemic has polarised people and driven us apart rather than us having a shared fighting spirit.,8.772,238.93,243.027,21,"Follow the rules, take the vaccine. Don't be selfish, we all need to pull together.",2.757,63.92,66.508,9,7,6,6,7,6,5,Yes,107,526,19,83,en,en,549,4,0.01,6042a9b3c5d9b61e1c8cc1e0,APPROVED,2021-03-05 21:59:23.757000,2021-03-05 22:07:23.933000,480.176,57,848,1,100,2021-03-12 13:18:24.174000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No,wave2,0,-2,3,0,0,0,0,-1,0,1,resignation,515
anonymised_516,2020-04-06 12:10:34,2020-04-06 12:24:50,855,Yes,6,Happiness,1,3,3,2,1,5,3,3,"I still feel worried about the Corona situation at the moment.  Although. I feel slightly relieved as the death figures have reduced for the UK as a whole but in particular they have plummeted in Scotland for 2 days in a row to 2 deaths per day.  However, I'm a little anxious as to whether this will continue and hoping that people don't relax the advice of self isolating or social distancing because of this as this would undo the good that has been done.  I still feel a little ponderous as to how this virus has started and the cause.  I also get very annoyed about people not being respectful of the 2 metre distance.  I feel pretty anxious about the economy also as I'm wondering about the long term effects this lock down will have on the country and the world.  There is so much hardship and poverty already in this country.",5.375,410.765,411.666,10,"Currently feeling anxious, angry and fear about the Corona virus, but had a little reprieve with the decrease of deaths in the last two days.  Please continue to follow government guidelines and stay safe!!",11.592,150.855,151.833,3,9,5,8,3,1,1,Yes,163,833,39,206,en,en,1369,12,0.01,5e8b6fcbd9f822048ebdd65f,APPROVED,2020-04-06 18:10:32.576000,2020-04-06 18:24:52.619000,860.043,55,434,1,100,2020-04-07 10:02:01.755000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker, retired or disabled)",English,United Kingdom,Female,No,wave1,2021-03-05 12:59:19,2021-03-05 13:11:14,715,Yes,6,Happiness,1,1,1,2,1,4,2,1,"I feel quite relieved that the R number has decreased and that people are becoming more hopeful about the future.  That being said, I still feel a bit cautious regarding the future with the new variants and how the vaccines will deal with these.  We know how much effort and time it takes to produce a vaccine and vaccinate most of the population, therefore, if these vaccines have to be tweaked this takes time and then the population would most likely have to have a booster which takes a lot of time and effort.  My worry is that we could be in and out of lockdown for quite a long time if this was the case.",16.091,274.984,276.319,4,"Glad that Covid infection is improving, although still worried about variants.",43.364,43.364,92.347,1,8,6,8,5,1,1,Yes,123,611,13,78,en,en,106,7,0.01,60428d923821d718dfeb478d,APPROVED,2021-03-05 19:59:14.827000,2021-03-05 20:11:16.978000,722.151,56,803,1,100,2021-03-12 12:48:06.845000,45CBCD80,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No,wave2,0,0,-2,-2,-2,-1,-1,0,0,1,resignation,516
anonymised_517,2020-04-06 12:13:23,2020-04-06 12:30:33,1029,Yes,7,Anxiety,1,1,4,7,5,1,4,1,"I am worried my job might be at risk. My mum is in the high risk category and that worries me lots as her breathing is always bad. I think about what if this doesnt go away and covid 19 becomes the normal flu. im bored in doors and so are the kids. The kids want to go out with their friends, they dont seem to understand the seriousness right now. seeing other countries have higher deaths on the news everyday makes me worried the UK might go that way. my family is lonely right now, cant wait to get back to normal.",9,631.015,660.511,19,"Feeling sad about the deaths rising in the uk, hope we dont end up like Italy or Spain.",36.748,130.773,133.835,12,9,9,9,7,5,5,Yes,112,518,20,87,en,en,1440,9,0.02,5e8b713a3d5a960411e5ae72,APPROVED,2020-04-06 18:13:21.620000,2020-04-06 18:30:39.913000,1038.293,34,488,3,100,2020-04-07 10:03:44.153000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave1,2021-03-06 02:17:19,2021-03-06 02:25:17,477,Yes,4,Desire,2,2,2,4,3,4,4,7,"I want it to be over so I can go back to work, kids can go back to school and just want to go back to something that feels normal. I'm very happy about the vaccine rollout and hope it is the way out of the pandemic. I'm sick and tired of being furloughed and worrying if my job is safe, cant wait to go back and know my job is safe. I have vulnerable parents who have been shielding and I know they really miss seeing family and getting out and about, family zoom calls have been a weekly thing but it just isnt the same.",3.955,236.797,291.28,20,Lets Hope the vaccine is our way out and we can enjoy one and others company once again.,8.296,70.868,72.281,7,9,9,9,6,6,7,Yes,114,521,19,88,en,en,863,9,0.02,604348996699882d9bdbeafd,APPROVED,2021-03-06 09:17:17.465000,2021-03-06 09:25:21.902000,484.437,35,765,5,100,2021-03-12 13:35:03.172000,45CBCD80,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No,wave2,1,-3,6,1,-2,3,0,-2,-3,2,wellcoping,517
