"","startdate","enddate","duration","worry","chosen_emotion","anger","disgust","fear","anxiety","sadness","happiness","relaxation","desire","text_long","text_short","self_rating_general","self_rating_short","self_rating_long","twitter_general_often","twitter_tweet_often","twitter_participate_often","eng_native"
"11","2020-04-06 07:51:54","2020-04-06 07:58:37","402","7","Anxiety","6","2","8","8","7","5","4","1","I am anxious for how this will continue to affect life in the future. I am fearful that loved ones might die. I am worried that our financial security will be affected. But, I am also cherishing the quality time I am getting to spend with my children, and I am quite enjoying home schooling them, in between home working. I miss my friends and family, and I miss going out for meals or to the beach. I love to travel, so I am sad that we are missing on our holiday, but it's worth it if we can help to stop the spread of the disease.","Anxious, nervous, afraid for the future. Proud of all the front line workers protecting us. Enjoying spending quality time with my kids,","9","8","8","9","9","7","Yes"
"12","2020-04-06 07:51:39","2020-04-06 07:59:37","477","8","Anxiety","1","1","8","9","7","1","1","1","I am very anxious, both for myself (as I have underlying health concerns which would make contracting coronavirus more serious, potentially fatal) and for my family. I am also concerned about the financial impact, both personally and for the country, and indeed the world economy. Should I emerge the other side, I will be much worse off financially and many of my plans will have to be changed as they will have become impossible in a more difficult Labour market.

Whilst of secondary importance, it is frustrating to be stuck inside my flat. I fear I might go a bit stir crazy!","I wish people would stay at home and not put others at risk.","6","8","9","8","3","3","Yes"
"13","2020-04-06 07:52:04","2020-04-06 08:01:00","536","4","Relaxation","4","2","3","6","5","5","8","3","I'm doing as much as I can to stop the spread to my loved ones. I have remained at home and have shown no signs of having the virus, and because I am not going to be going outside, I am not all that worried about catching the virus. All people in my household are following the lock-down rules so the fact we don't have it now means we likely won't catch it, hence my feelings of relaxation over anxiety. I am moderately sad because I miss seeing my friends and I had to move out of my university accommodation, but I know that it will be resolved in a few months and life will return back to normal eventually, so am not too concerned about the future. ","This sucks but it is what it is. ","4","2","6","1","1","1","Yes"
"14","2020-04-06 07:51:57","2020-04-06 08:01:20","563","7","Desire","5","4","7","4","4","4","6","9","worried about elderly and vulnerable family members. 
sad that I'm unable to visit my grandmother.
worried for the people who have to work, including me.
gutted that university graduation and my holidays will be canceled.
grateful that no one in my family has become sick.
positive that the earth has a break from humanity.
realised what is important in life and what is not.
angry at people who are not following the rules.
gutted that the football season, which was to be one of the best in history for my club, has been negatively impacted.
sad that life and plans have to be put off but will do whatever to follow the rules and get this done as quickly as possible.
bored of being in the house and not being able to go out.
optimistic that this will be over soon.
wishing that the government would've acted quicker and hoping they show up and deal with this appropriately.","Although I know others are in a worse situation, I'm upset that my life and exciting plans have been put on hold. I'm worried for a lot of people, especially my family, so i'm doing what I can to help them. I'm also following the rules, hoping this will be over soon. Stay inside.","8","3","9","9","2","1","Yes"
"15","2020-04-06 07:51:58","2020-04-06 08:01:26","567","7","Anxiety","5","5","6","7","7","3","2","8","I am scared by the uncertaintly of the situation and how heavily it has affected my life already. The UK is hardly in its hardest times yet so many things have gone wrong or have been negatively affected already. Personally, not being able to see the people I have been closest to recently is having a detrimental effect on my mental health, and self-isolation is proving to have an effect on my physical health. I wish to see my friends and to go about my daily life however I understand that these are things I will have to put on hold for the time being. I am just scared that others will not be so sensible and do not understand the consequences of their actions","I want to go out, to see my friends, to have fun. But I also understand that for the good and health of all I must stay in. Everyone must understand this. We will have our chance.","6","4","7","8","2","4","Yes"
"16","2020-04-06 07:51:23","2020-04-06 08:03:52","749","8","Relaxation","2","4","3","5","2","6","8","4","I feel that we have not done enough in the UK to prepare for this situation - the NHS deserves all the support they can get, and the fact that people are still not observing social distancing angers me. Sadly it seems that the Conservative government have underfunded the NHS for a decade now, and they paying for it with innocent lives. The nurse who died from the coronavirus recently is just one of the many deaths that will be brought upon by us by this virus, and I blame the government for this. I have nothing further to add at this moment in time.

","The coronavirus has us all frightened - please stay at home to save lives!","3","3","4","1","1","1","Yes"
"17","2020-04-06 07:50:16","2020-04-06 08:04:13","836","5","Anxiety","1","2","3","5","2","5","5","3","I am worried about the people who are not taking the situation seriously and are putting others at risk. No one should be selfish and behave like they can do whatever they want. I’m not scared of getting coronavirus but I’m worried about passing it on to others who might not survive having it. I am finding staying at home to be quite easy because the stakes are so high. I find being alone suits me and it’s the right thing to do. I live alone so I’m having lots of time to myself to do the things I want to do. I’m a musician and I can record alone, so that passes the time and is fun. ","The situation may be worrying but staying at home is the right thing to do. And it’s easy compared to the good people who have to keep going to work to help others. ","4","2","5","9","1","1","Yes"
"18","2020-04-06 07:50:36","2020-04-06 08:05:33","896","8","Sadness","4","4","6","8","8","5","4","4","I am very worried about this situation, about how long this will last due to myself, my mother and others having depression or other mental health problems. Also about the vulnerable within my family and other. As well as the children from the special needs school I work at how they are dealing with this and if they are healthy and not suffering. I also am greatful for the teachers, support workers, NHS staff and carers taken care of others who need it.                                                               




","I'm very worried about all vulnerable and struggling people either directly affected by the virus or are suffering with mental health problems","4","3","3","7","3","4","Yes"
"19","2020-04-06 07:50:36","2020-04-06 08:05:50","914","9","Fear","2","1","9","9","5","1","1","1","I feel fearful, as we don't know who or where it is coming from.
We cannot physically see this virus and this is frightening.
I go to work daily in the NHS seeing patients on wards and in the out patients department, not knowing if my colleagues or myself will get this virus. We can only do our best by trying to distance ourselves and hand wash/sanitise but this is difficult when you have to take a blood sample off someone.
I know people blame our government for not issuing the correct PPE, but no one would have been prepared for this pandemic no matter how much planning was in place. 
People need to remember how serious this is, and keep their distance and not go out.
FRIGHTENED !!!!
","I like many others are frightened with COVID-19 but PLEASE do not go out as you would normally and stay in, By doing this this is saving lives and potentially your own.","6","5","5","4","3","3","Yes"
"20","2020-04-06 07:49:57","2020-04-06 08:06:53","1016","7","Anxiety","5","3","7","7","6","3","6","2","Anxious and concerned for family members of whom are more at risk than myself, their health is a large cause of concern. Additional stress has been added to everyday life as isolation leads to feeling restricted, it feels almost dirty to think of going for a walk in the park which would have been benign weeks ago.

I am mainly worried about what the future holds and frustrated at the severe negligence that caused these circumstances to begin with. To that point i am angry.

Days blend together with no strict boundaries between activities and lethargy sets in quickly, in terms of some of the aspects this survey probed, i feel little expression in terms of desire or happiness as my feelings and motivations turn to apathy.","The acts of a foreign government have put the lives of everyone at stake, creating a threat that does not discriminate. Their motive was money, they do not deserve the power they wield. Their actions have brought good people to early graves and national services to breaking point","5","6","4","2","1","1","Yes"
"21","2020-04-06 07:52:00","2020-04-06 08:08:49","1008","8","Anxiety","3","2","7","9","7","2","4","9","My main concern is the long term economic impact of the virus. This is because I will be graduating university at the time where I feel the economic effect will be the most visible and I am scared that I will not be able to find a job. 
Secondly I am concerned about my boyfriend as his dad is showing cover symptoms. He is isolating with him and his sisters. 
My third concern is the health of the doctors and nurses. I feel like if I was to get sick now I would not be treated for anything but coronavirus. ","Very confused how some people still don't act on the government advice on social distancing. Not all of us want to stay in lockdown forever....","2","3","7","9","1","2","Yes"
"22","2020-04-06 07:52:17","2020-04-06 08:11:06","1129","7","Fear","6","5","9","9","7","3","2","2","I feel quite anxious and afraid of what comes next.
I do not like this situation, I am rather afraid of what will happen in the future.
I have a state of constant anxiety because of the epidemic.
Forced to stay at home and not go anywhere.
I constantly worry about my parents.
I'm worried about my family.
It is very boring to stay at home without work
I worry about my work. I may lose my job because of this epidemic. I am afraid of losing my savings. The stores lack food. Permanent queues. I am afraid our medical system may not cope with many patients","I worry about my work. I may lose my job because of this epidemic. I am afraid of losing my savings. The stores lack food. Permanent queues. I am afraid our medical system may not cope with many patients
I constantly worry about my parents.
I'm worried about my family. God help!!","6","6","8","9","3","4","Yes"
"23","2020-04-06 07:53:07","2020-04-06 08:11:26","1099","7","Fear","6","6","9","9","7","1","2","3","I worry about my work. I may lose my job because of this epidemic. I am afraid of losing my savings. The stores lack food. Permanent queues. I am afraid our medical system may not cope with many patients
I'm worried about my family.
I have a state of constant anxiety because of the epidemic.
Forced to stay at home and not go anywhere.
I constantly worry about my parents.
I do not like this situation, I am rather afraid of what will happen in the future.
It is very boring to stay at home without work
I feel quite anxious and afraid of what comes next.","I have a state of constant anxiety because of the epidemic.
It is very boring to stay at home without work
I do not like this situation, I am rather afraid of what will happen in the future. Forced to stay at home and not go anywhere. I constantly worry about my parents. ","6","7","9","8","4","3","Yes"
"24","2020-04-06 07:53:12","2020-04-06 08:11:44","1111","8","Anxiety","6","7","9","9","6","1","2","2","I feel quite anxious and afraid of what comes next.
Forced to stay at home and not go anywhere.
I worry about my work. I may lose my job because of this epidemic. I am afraid of losing my savings. The stores lack food. Permanent queues. I am afraid our medical system may not cope with many patients
I constantly worry about my parents.
I'm worried about my family.
I have a state of constant anxiety because of the epidemic.
It is very boring to stay at home without work
I do not like this situation, I am rather afraid of what will happen in the future.","I have a state of constant anxiety because of the epidemic.
I'm worried about my family.
It is very boring to stay at home without work","6","7","7","8","4","2","Yes"
"25","2020-04-06 07:51:38","2020-04-06 08:31:49","2410","4","Relaxation","1","1","2","2","4","7","7","2","Personally, I am fairly calm about the corona virus situation and am not panicking about the virus. M family and I have tried to buy what we need from the supermarkets without over stocking.
I believe that the corona virus lockdown is in place to ensure that the NHS can cope as the NHS is underfunded.
More people have died of the flu then corona, the death rate appers to be high because of the low numbers of tests available. If they were able to more tests then the death rate will be a fraction of 1%.


That being said, I believe that some sort of lock down is needed but it could have been done in a slight less strict way. ","People should try and remain calm, as panic will only make the situation worse","7","6","8","9","2","4","No but I speak it fluently"
"26","2020-04-06 08:28:08","2020-04-06 08:36:02","473","8","Anxiety","2","1","3","6","3","4","4","4","I feel more lonely than usual and isolated from my friends who I would usually see on an almost daily basis. I'm frustrated at being kept at home but obviously understand the importance of doing so. I hope the situation is over quickly so we can go back to normal - partially at least - and meet up with friends again even if mass gatherings are still banned. I would definitely feel more positive if there was a clear end date for the lockdown but this is obviously hard to predict. Lastly, I feel sad on behalf of all the families who have lost any loved ones due to the virus.","Feeling frustrated and missing everyone at the moment. Hopefully, this won't last too much longer. Make sure you stay at home so we can get back to normal quicker.","7","6","7","8","1","1","Yes"
"27","2020-04-06 09:09:04","2020-04-06 09:12:58","234","8","Anxiety","8","7","8","9","8","3","2","3","I am angry at people who are not following the guidelines and I feel that it is putting me at risk more as I have to leave the house for essentials etc. I am worried then that I am putting my family at risk after coming home from shopping! If everyone followed the rules then we would be able to get back to normal faster than if they don't. I feel that things might also get a lot worse before they get better and it scares me. I am scared that my work will dry up and I will be made redundant after this all goes away too. It will be a scary few months .","Angry that people aren't following rules and putting themselves and others at risk. Selfish, arrogant and worthless!","8","9","7","6","3","8","Yes"
"28","2020-04-06 09:09:50","2020-04-06 09:13:19","209","3","Relaxation","1","1","2","1","2","5","8","6","It's a slightly worrying situation especially to see so many people from around the world die. But personally, I am not that worried as I am following the guidelines. Making sure to stay productive and active as well which has helped with my mental/physical health. It was a bit stressful at the start of the lockdown (UK) but I have gotten used to it at this point. Can't wait for it to end though as some proper fresh air and outdoor activities would be nice especially with the warm weather. I'm slightly optimistic that we will all behave differently after this all ends as well. Maybe start paying health care and other essential workers properly and treating them well too.","Not the best situation but glad to see that health workers and other key workers are finally getting the recognition they deserve","7","7","9","9","1","5","Yes"
"29","2020-04-06 09:08:04","2020-04-06 09:14:21","377","6","Anxiety","2","2","5","6","6","1","3","1","Anxious about the behaviour of others.  I'm socially distancing myself and actually going back to work in a clinical role to support my colleagues, but there are lots of selfish people who are just not appearing to take the situation seriously or are taking advantage of the situation.  I'm fearful for my parents, in-laws and other relatives who have underlying health conditions / are vulnerable and aren't getting the support they need.  I am thankful that I had a relatively minor case of Covid-19 (I'm 90% it was Covid) and that it didn't affect me or my husband as badly as some people.  I'm also thankful that I have a supportive husband who is helping me to take my mind off of the anxiety that I'm feeling at the moment.","Please please please listen to the government advice.  I'm not putting my life at risk for you to abuse the current situation!","6","3","6","9","7","7","Yes"
"30","2020-04-06 09:09:16","2020-04-06 09:15:21","364","9","Anxiety","4","3","8","9","7","2","3","4","i am struggling with not having contact with people as as my mum works at a hospital i am not able to see her at all. i am just very scared at the uncertainty of everything and the not knowing of how long it’s going to last. I also feel the government are being hypocritical as one minute they say every stay inside for 14 days with any symptoms, but then their health MP is around people 7 days after having it. I think boris is doing a good job but it’s hypercritical, also my girlfriends dad is NOT a key worker, he is a construction manager, and is having to go into london every day on the underground from a safe rural area... it just doesn’t make sense and there needs to be a lot more clarity, i feel confused, and distressed","anyone else feel like this is going to be a forever ending cycle of isolation until they find a vaccine?","7","4","9","9","9","9","Yes"
"31","2020-04-06 09:06:29","2020-04-06 09:16:22","592","8","Anxiety","6","6","7","8","8","4","4","2","At the moment I am feeling quite anxious about the situation. 
It seems that figures may be improving slightly but the next day its worse again. Newspaper headlines, twitter etc dont really help as they know that dramatic headlines sell news and they use a  mixture of trigger words to cerate the desired effect rather than actual facts at times. I live in Scotland so I have the extra anxiety of being under the whim of a partisan power crazy leader and her cohort of inexperinced and underqualified """"health leaders"""" . Quite a few scots are now ignoring her Scottishing and regurgetation of information, and listening to the main UK daily press briefing insead. Scots people are definte;y more fearful as a result of her separate approach. We need unity at atime like this. The CMO scandal has just made things so much worse. 
","I feel more anxious as a resident in Scotland as our leader doesnt give us clear information and doesnt use this to reassure and create unity with the rest of the UK. We dont need and dont want party politics now. 
","9","7","8","6","6","5","Yes"
"32","2020-04-06 09:12:02","2020-04-06 09:17:27","324","6","Anxiety","6","3","6","7","7","5","5","7","I think the government should have put precautions in place much earlier to avoid the current situation in the UK.
I do miss my friends and family and get so anxious with isolation in general so this is really damaging my mental health.
It's scary and I just want the nightmare to be over so I can go back outside and be happy again.
My boyfriend lives in The Netherlands and it's so hard having the restrictions with flights etc. as he makes me happy but I understand why they have been put in place. 
At the end of the day, everyone should be trying to keep eachother safe and limit the death toll as much as possible.","Missing my family and just want everything to go back to normal. Isolation isn't helping my anxiety at all. Feeling lonely with it all. Got to be done to keep everyone safe though. Hope everyone is staying safe and staying inside, sooner it's done with, the better.","7","6","8","8","6","3","Yes"
"33","2020-04-06 09:12:19","2020-04-06 09:17:59","339","7","Anxiety","3","6","9","8","6","3","4","6","As I live with my grandparents, I feel worried for them as they already have underlying health problems. I feel anxious with the economy and the huge impact this is already having on it. I am starting to feel lonely as I am stuck inside all day unable to see any of my friends. However, I am getting used to isolation and I believe this could benefit me as it might help me feel more comfortable and happy by being by myself. I also feel worried as the death toll increases by a lot daily and shows no signs of slowing down.","I am so bored. I have watched everything on Netflix, played every game. I want this to be over. I want everyone to be OK and we can go back to our normal lives.","8","5","8","9","6","8","Yes"
"34","2020-04-06 09:06:15","2020-04-06 09:18:06","710","6","Fear","1","2","8","8","8","4","6","1","Primarily, I feel anxious and worried about family members and myself. I am fearful about going outside and to the supermarket but in the past I have felt that way about leaving the house when we weren't in the midst of a pandemic, so it's not such a huge adjustment to me personally. I also feel some anger towards the government's lack of clarity and response to this situation, but less angry at the minute than I felt a few weeks back. I feel quite overwhelmed by stories of people and businesses coming together to support each other (which means I cry so easily at the minute), and a little bit relieved at having to slow down in regards to work because that was something that brought me a great deal of stress. ","This corona situation is a very scary time and feels uncertain, but the amount of community spirit and people coming together is heart warming and overwhelming (something I personally rarely felt in London before this crisis)","7","4","8","7","3","1","Yes"
"35","2020-04-06 09:14:17","2020-04-06 09:18:34","257","8","Anxiety","3","4","7","8","6","5","5","2","It’s an anxious time. People aren’t listening to advice which will make it worse for everyone. This makes me sad as we this is a great time to prove to everyone what a great country we are. I’m scared for the future, not about my own health, but the health of those around me. However, I feel this is driven a lot by the media - daily messages about the number of deaths etc. Really brings it all home. It also makes me anxious that I still have to go to work in hospitality to be a security guard for the building. It worries me that a pandemic doesn’t even keep you safe. ","Covid19 is scary. People aren’t taking it serious enough. I’m worried for my loved ones. ","9","7","5","9","3","4","Yes"
"36","2020-04-06 09:10:27","2020-04-06 09:18:47","499","8","Anxiety","3","3","8","9","7","3","2","3","I feel anxious about what will happen to the economy, whether I will have job to go back to and if I will be able to pay my bills when my furlough has ended. I'm scared that i will get Covid 19 and not survive it, even though I am not in an at risk group. I'm even more scared that my eldest grandparents or my mum who has MS will get it and not be able to fight it and will not survive. I'm worried that people are not taking the lockdown seriously Nd are still going out and socialising and therefore risking the spread of the virus.","Scared that people aren't taking lockdown seriously, putting myself, my family and friends at risk. Worried about the economy and if me and my partner will have a job to go back to after our furlough and how we will pay the bills ","9","9","9","9","7","6","Yes"
"37","2020-04-06 09:14:13","2020-04-06 09:18:55","281","8","Anxiety","5","2","6","8","7","4","6","1","In this very moment I am flipping between two sides of emotions. On one side, I have cleaned my house so my environment to work from is really nice and I have spent the day in the sun. This is genuinely nice. On the other hand, I am fearful for my loved ones and my sick relatives and my relatives at risk. This fear grips me. I am angry in anticipation that they get sick and I cannot say goodbye. I am anxious they will stay healthy, to the point where I EXPECT one of my relatives to get sick (most of us are at-risk because of health conditions) and this expectation makes me feel sick with worry. ","Not to add to the negativity right now, but a calm working environment and time at home is no comfort from the fear that my loved ones will get sick. I'm anxious all the time!! ","9","7","9","9","9","9","Yes"
"38","2020-04-06 09:10:05","2020-04-06 09:19:07","541","7","Relaxation","7","6","4","2","2","6","7","3","I feel unsettled predominantly because it’s not clear how the whole situation will eventually pan out. I struggle to work out whether I’m more concerned that I may get the infection and potentially become seriously unwell and die or whether I’m more worried that the same thing will happen to one of the people I love most in my life. I also Feel angered by the people who are ignoring the government’s instructions on social distancing and giving the appearance that they don’t care whether or not they may be responsible for infecting and potentially killing another person. ","If You are one of the people who has been out to enjoy the sun this weekend, you need to realise that your behaviour is equal to taking a gamble on another person’s life.","9","9","9","2","2","1","Yes"
"39","2020-04-06 09:07:59","2020-04-06 09:19:54","714","6","Anxiety","4","4","6","7","6","6","5","6","I feel worried and anxious about how this virus is going to come to an end. I am also thinking and worrying about my elderly in laws and parents and the fact that my husband and I can’t be with them not helping them at the moment. 
In other hand, I feel more and more the weight of privilege, right now, I’m not working but being paid my employer, I have a safe and nice house to be, with a bit of a garden when there are sunny days. I’m in a loving relationship so don’t have the worry of being abuse in my own home, I don’t have children to worry about nor to think about homeschooling, I have time to cook a healthy meal, I have money to do so, I have times and wifi for exercise, getting in touch with family and friends online. So I’m really grateful and privileged, how about poorer parts of the country and the world where there’s no space like shanty towns and favelas? This worries me a lot. 

But also hopeful and happy that perhaps this will bring about a new normal - where the rat race isn’t going to be so overrated as it was. So I’m always thinking about the both sides of the coin which makes me anxious and helpless. My main question is - how to help others in this situation? 
","It’s a time to deconstructions, time literally stop and think how we want to live our lives from now onwards. ","8","6","9","7","7","6","No but I speak it fluently"
"40","2020-04-06 09:06:16","2020-04-06 09:19:57","821","5","Sadness","4","5","4","6","6","4","5","2","I'm feeling anxious about my family's health, especially my older relatives who will be more at risk to this virus. As well as how this will affect my Alevel grades and if I will be able to go to my first choice university. I'm feeling sad that I'm unable to see my family, who don't live in the same household, as well as my friends. In addition, I am also sad about not being able to take my Alevels or have a final celebration of finishing Year 13. Finally, I'm almost disgusted by the people who still aren't taking the guidelines set by the government seriously.","I'm feeling scared and anxious about the corona virus, but know my family and I are trying our best to keep us and everyone around us safe. I'm also hopeful that we as a country and a population will get through this pandemic.","8","7","9","7","1","1","Yes"
"41","2020-04-06 09:09:37","2020-04-06 09:20:00","622","7","Anxiety","3","5","6","7","6","2","1","6","I feel confused by all of the online news surrounding the situation and fearful about finances if the situation worsens.
I fear that people with or without the virus will find it difficult to get any help that they might need at this time.
I do feel thankful that I can focus on the household jobs that I don't get time to do when I am working and I have time to be creative if i feel like it. I am happy I can spend time with my partner but I do not like the feeling of being constricted to staying indoors.","Hoping this situation resolves soon and we learn from it as a society, it has definitely made me appreciate nature.","7","4","8","9","2","2","Yes"
"42","2020-04-06 09:14:23","2020-04-06 09:20:00","336","8","Anxiety","1","1","8","9","8","1","1","2","Worry is what I feel most.
I am no longer working so I worry about being paid, paying rent, feeding my family.
Knowing that there is no end date increases my anxiety. 
My partner is a keyworker with no PPE being issued. I worry about him and him coming home to our children.
Although the children's teachers have been a great support and I am trying my hardest, I'm worried about them not being in a school setting in case I am not teaching them like they are used to.
We all miss our extended family and not seeing them is hard.","I am a ball of worry.","9","9","9","9","9","3","Yes"
"43","2020-04-06 09:10:37","2020-04-06 09:20:48","611","7","Anxiety","7","3","6","8","6","4","5","5","Annoyed at the people leaving their house when there are frontline NHS staff risking their lives. Anxiety for my family and grandparents if they get coronavirus. Annoyed at the lack of leadership from the start from Boris. The media is making people fearful as it is all negative stories and deaths and constant fear mongering. However, I am hopeful that there are some positives in this e.g. ozone layer is healing, Less pollution. I am also grateful that I am in a fortunate situation compared to others and we're all in this together.","How can people go out and continue to spread coronavirus when there are staff risking the lives and people dying. It is not difficult to stay indoors in order to save lives. ","5","4","6","8","3","3","Yes"
"44","2020-04-06 09:15:35","2020-04-06 09:21:20","344","7","Sadness","5","3","7","8","9","1","6","3","I am Concerned and apprehensive about the future. I wish people would listen to guidance so we could get put the lockdown I want to return to normal. I hope the people I care about stay safe. My husband is a key worker and I’m glad he’s got normality but wish we could all either be together safe or have normality again. I hope we are able to travel again soon as we have special trips planned for later in the year but I fear that won’t happen I also worry about wether I have a job to go back to when this is over.","Stay safe and stay home","7","3","6","7","5","5","Yes"
"45","2020-04-06 09:09:02","2020-04-06 09:21:24","742","2","Relaxation","2","1","1","2","2","6","8","5","I'm aware of how serious the situation is but the only thing I can do to help is not mix with people and maintain my hygiene. I am using any  days off duty to continue my personal education, learning, dog walks (whilst we can)and enjoying it, remaining positive throughout.
I am constantly baffled by those who find this difficult to comprehend. We are not in small prison cells, solitary confinement or suffering any hardship beyond vanity. That said, I do feel a little concerned for the elderly and infirm or those living in flats, without gardens.","This is a battle we can win, but only if we all work sensibly as we are meant to. Those who disregard the rules should be jailed, sharing cells with those also do this. They clearly don't care for anyone so let's not protect them any longer. Be good, be safe & work to get through","3","2","6","4","2","2","Yes"
